0	1	707	480	5	6	
1	1	708	476	6	8	
2	1	708	478	4	4	
3	1	708	476	4	6	
4	1	708	476	4	4	
5	1	710	475	4	5	
6	1	710	472	6	6	
7	1	709	470	7	5	
8	1	710	468	7	6	
9	1	712	468	4	4	
10	1	712	464	6	6	
11	1	714	464	4	4	
12	1	714	464	4	5	
13	1	714	464	4	4	
14	1	716	466	4	4	
15	1	716	464	4	5	
16	1	717	460	5	5	
17	1	718	462	4	4	
18	1	720	462	4	4	
19	1	722	464	4	4	
20	1	722	466	4	4	
21	1	722	466	5	5	
22	1	724	466	4	4	
23	1	726	464	4	4	
24	1	726	458	5	4	
25	1	728	458	4	4	
26	1	730	454	4	4	
27	1	730	447	4	4	
28	1	732	438	6	7	
29	1	734	434	6	8	
30	1	736	432	6	8	
31	1	738	434	4	6	
32	1	740	438	4	4	
33	1	742	440	4	4	
34	1	742	444	4	4	
35	1	744	450	4	4	
36	1	744	452	4	6	
37	1	746	452	4	6	
38	1	748	450	4	5	
39	1	750	448	4	5	
40	1	750	448	4	6	
41	1	752	446	4	5	
42	1	754	448	4	4	
43	1	754	446	6	5	
44	1	755	444	5	5	
45	1	756	442	4	3	
46	1	758	440	4	5	
47	1	758	440	4	5	
48	1	760	438	4	5	
49	1	760	439	4	6	
50	1	760	438	6	8	
51	1	762	440	4	6	
52	1	762	441	4	5	
53	1	762	442	4	4	
54	1	762	440	6	6	
55	1	763	444	5	4	
56	1	763	443	5	5	
57	1	763	442	5	6	
58	1	763	443	5	5	
59	1	763	444	4	6	
60	1	763	445	5	5	
61	1	763	445	5	6	
62	1	763	447	5	5	
63	1	763	449	6	5	
64	1	764	450	4	6	
65	1	763	449	6	6	
66	1	764	448	4	5	
67	1	764	448	4	4	
68	1	764	448	4	4	
69	1	764	447	4	4	
70	1	764	447	4	5	
71	1	764	446	4	4	
72	1	764	446	4	5	
73	1	764	444	4	6	
74	1	764	445	4	4	
75	1	764	444	4	5	
76	1	762	442	6	8	
77	1	762	442	6	6	
78	1	762	441	6	5	
79	1	762	441	4	4	
80	1	762	440	6	5	
81	1	762	440	6	7	
82	1	762	442	4	4	
83	1	762	442	4	5	
84	1	760	442	6	5	
85	1	760	442	6	6	
86	1	760	442	6	5	
87	1	760	442	6	6	
88	1	760	442	4	6	
89	1	760	440	4	6	
90	1	758	442	6	6	
91	1	758	444	6	5	
92	1	758	444	4	6	
93	1	758	444	4	6	
94	1	757	444	5	7	
95	1	756	444	6	6	
96	1	756	443	6	5	
97	1	756	442	5	6	
98	1	756	441	5	7	
99	1	756	442	4	4	
100	1	754	442	6	6	
101	1	754	442	6	4	
102	1	754	440	6	7	
103	1	754	440	4	6	
104	1	752	436	6	8	
105	1	752	434	6	6	
106	1	752	431	5	5	
107	1	752	428	4	6	
108	1	751	426	7	7	
109	1	750	426	6	7	
110	1	750	425	8	9	
111	1	750	426	6	7	
112	1	750	426	10	10	
113	1	750	428	6	7	
114	1	748	426	8	10	
115	1	748	425	8	10	
116	1	748	425	6	8	
117	1	748	426	6	6	
118	1	748	424	6	8	
119	1	748	426	4	6	
120	1	748	425	6	5	
121	1	748	427	6	6	
122	1	748	426	8	10	
123	1	749	426	9	11	
124	1	750	429	6	5	
125	1	750	431	6	5	
126	1	752	428	6	10	
127	1	752	431	6	5	
128	1	752	430	8	6	
129	1	754	429	6	7	
130	1	754	428	6	7	
131	1	756	427	6	6	
132	1	756	424	6	9	
133	1	756	427	6	6	
134	1	756	424	8	8	
135	1	758	424	6	7	
136	1	759	421	8	9	
137	1	760	423	6	5	
138	1	762	423	6	7	
139	1	762	424	8	8	
140	2	294	428	4	5	764	424	8	8	
141	2	292	427	8	8	768	425	6	6	
142	2	294	430	4	4	770	425	6	7	
143	2	292	427	5	5	772	423	6	8	
144	2	291	425	6	6	774	422	8	7	
145	1	778	420	6	8	
146	1	780	420	6	8	
